,q0.025,q0.500,q0.975,time,model,seed,flips,logging,rep
0,0.014129947375330862,0.016788581956469515,0.019755571578156772,6.572557,LVM,0,0,session_pop,1
0,0.0122169393622917,0.014687700949763518,0.017465914115200598,17.235798,LVM Bandit MVN-Q,0,0,session_pop,1
0,0.00933862271119792,0.011489627899396004,0.013944057119345876,15.544523,LVM Bandit NQ,0,0,session_pop,1
0,0.015837550423593347,0.018665222775782038,0.021804336810326008,8.874579,CB,0,0,session_pop,1
0,0.01507686969457507,0.01785487792743058,0.020948392768254442,12.118728,log reg,0,0,session_pop,1
0,0.009527570896482252,0.011670567248237831,0.014109171396159637,2.505757,random,0,0,session_pop,1
0,0.010210952636397517,0.012467832205234293,0.015030699658091562,4.83457,ItemKNN_mean,0,0,session_pop,1
0,0.017581597500007727,0.020553441448571637,0.02383540104590076,6.257827,MultiVAE,0,0,session_pop,1
0,0.006393661227196353,0.008155494103794516,0.010211910396710877,7.370759,LVM,0,10,session_pop,1
0,0.009183575827649705,0.01131196928972927,0.013742392021636074,21.091487,LVM Bandit MVN-Q,0,10,session_pop,1
0,0.009322260552360653,0.01145665306458051,0.01389045918277576,24.235923,LVM Bandit NQ,0,10,session_pop,1
0,0.010549135844213273,0.012842033557451681,0.015440840257926358,10.590861,CB,0,10,session_pop,1
0,0.011648976044776913,0.014051734532802621,0.016759285923401035,8.504262,log reg,0,10,session_pop,1
0,0.010367400307187859,0.012608908049010428,0.015148074247192445,3.56722,random,0,10,session_pop,1
0,0.009342027908325575,0.01149381287855762,0.013949129786097969,5.4501,ItemKNN_mean,0,10,session_pop,1
0,0.009211039560004823,0.011332826116187883,0.013753992352064648,8.490386,MultiVAE,0,10,session_pop,1
0,0.009250950733847933,0.011381878104137873,0.013813450627834456,8.726365,LVM,0,0,session_pop,2
0,0.006621751035408051,0.008416222642458492,0.010506063084965378,21.028699,LVM Bandit MVN-Q,0,0,session_pop,2
0,0.009300203256674829,0.011442410251153579,0.013886823684631344,21.28179,LVM Bandit NQ,0,0,session_pop,2
0,0.012119544806299265,0.014559189371159716,0.0173011308023584,11.162777,CB,0,0,session_pop,2
0,0.014678492804557524,0.017383745609985547,0.020396481011415224,7.92297,log reg,0,0,session_pop,2
0,0.009527570896482252,0.011670567248237831,0.014109171396159637,3.465907,random,0,0,session_pop,2
0,0.010210952636397517,0.012467832205234293,0.015030699658091562,5.330807,ItemKNN_mean,0,0,session_pop,2
0,0.017581597500007727,0.020553441448571637,0.02383540104590076,7.834315,MultiVAE,0,0,session_pop,2
0,0.013366012773773658,0.015947137234709113,0.01883534724063085,8.728148,LVM,0,10,session_pop,2
0,0.005242347556338852,0.006842164874484743,0.008736195562076499,27.934244,LVM Bandit MVN-Q,0,10,session_pop,2
0,0.01287755792157488,0.015421085517501192,0.018273903888684884,24.077033,LVM Bandit NQ,0,10,session_pop,2
0,0.011716540425945787,0.014133135294768267,0.01685623714606055,13.573971,CB,0,10,session_pop,2
0,0.011179908494370542,0.013533365881391063,0.016191300468567538,9.579864,log reg,0,10,session_pop,2
0,0.010367400307187859,0.012608908049010428,0.015148074247192445,3.241167,random,0,10,session_pop,2
0,0.009342027908325575,0.01149381287855762,0.013949129786097969,5.165789,ItemKNN_mean,0,10,session_pop,2
0,0.009211039560004823,0.011332826116187883,0.013753992352064648,8.761266,MultiVAE,0,10,session_pop,2
